"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:26:35 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","read","writ","read","writ","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
03-07 12:26:35,6.400,100.568,184452.075,1387914.019,0.640,0.282,94.765,4.273,0.040,0.0,0.0,0.0,260599808.0,376832.0,197730304.0,31105368064.0
03-07 12:26:40,2.800,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,565.600,259481600.0,376832.0,197828608.0,31106387968.0
03-07 12:26:45,0.0,0.400,0.0,2457.600,0.0,0.025,99.975,0.0,0.0,0.0,52.0,421.200,259440640.0,385024.0,197828608.0,31106420736.0
03-07 12:26:50,0.0,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,440.800,259440640.0,385024.0,197828608.0,31106420736.0
03-07 12:26:55,0.0,0.400,0.0,2457.600,0.0,0.0,99.950,0.050,0.0,0.0,62.400,444.0,259432448.0,393216.0,197828608.0,31106420736.0
03-07 12:27:00,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,62.400,440.800,259432448.0,393216.0,197828608.0,31106420736.0
03-07 12:27:05,110.800,1.600,1847296.0,12288.0,0.075,0.075,95.951,3.899,0.0,0.0,2894.200,3754.400,260464640.0,864256.0,208683008.0,31094063104.0
03-07 12:27:10,309.800,0.800,2613248.0,18841.600,0.275,0.225,89.222,10.253,0.025,0.0,51941.200,55618.0,260575232.0,872448.0,234434560.0,31068192768.0
03-07 12:27:15,430.0,0.400,4058316.800,2457.600,0.500,0.300,90.548,8.602,0.050,0.0,94698.800,100865.200,260878336.0,880640.0,271708160.0,31030607872.0
03-07 12:27:20,318.600,0.0,3211264.0,0.0,0.500,0.250,90.743,8.481,0.025,0.0,98504.0,104950.800,260800512.0,880640.0,300896256.0,31001497600.0
03-07 12:27:25,314.0,0.400,3283353.600,2457.600,0.775,0.350,92.571,6.253,0.050,0.0,159870.400,169921.200,261169152.0,888832.0,331247616.0,30970769408.0
03-07 12:27:30,231.200,0.0,2439577.600,0.0,0.926,0.325,93.695,4.979,0.075,0.0,192076.400,204180.0,261337088.0,888832.0,353648640.0,30948200448.0
03-07 12:27:35,116.600,1.800,1145241.600,36864.0,1.226,0.400,95.597,2.702,0.075,0.0,255086.400,271138.0,261681152.0,901120.0,367505408.0,30933987328.0
03-07 12:27:40,41.600,3.600,381747.200,27852.800,1.351,0.400,96.898,1.251,0.100,0.0,289814.0,307656.0,262283264.0,909312.0,373944320.0,30926938112.0
03-07 12:27:45,11.200,0.200,95027.200,819.200,1.451,0.425,97.673,0.350,0.100,0.0,314686.0,333937.600,261844992.0,909312.0,377524224.0,30923796480.0
03-07 12:27:50,2.800,0.400,22937.600,2457.600,1.526,0.425,97.624,0.300,0.125,0.0,324720.800,344790.0,261869568.0,917504.0,379236352.0,30922051584.0
03-07 12:27:55,1.0,0.0,8192.0,0.0,1.501,0.425,97.823,0.150,0.100,0.0,323381.600,343026.0,261947392.0,917504.0,380047360.0,30921162752.0
03-07 12:28:00,0.400,0.400,3276.800,2457.600,1.527,0.426,97.922,0.025,0.100,0.0,331998.0,352679.200,261910528.0,925696.0,380489728.0,30920749056.0
03-07 12:28:05,0.0,1.0,0.0,12288.0,1.576,0.450,97.849,0.0,0.125,0.0,332378.400,352786.400,261824512.0,925696.0,380669952.0,30920654848.0
03-07 12:28:10,0.200,0.400,819.200,9830.400,1.151,0.325,98.374,0.075,0.075,0.0,248989.200,264447.400,260833280.0,933888.0,380764160.0,30921543680.0
03-07 12:28:15,0.0,0.400,0.0,3276.800,0.0,0.0,100.0,0.0,0.0,0.0,52.0,418.0,260825088.0,942080.0,380755968.0,30921551872.0
03-07 12:28:20,0.0,1.600,0.0,9011.200,0.025,0.025,99.950,0.0,0.0,0.0,52.0,418.0,260816896.0,942080.0,380764160.0,30921551872.0
03-07 12:28:25,0.0,0.400,0.0,2457.600,0.0,0.0,99.975,0.025,0.0,0.0,52.0,421.200,260808704.0,950272.0,380764160.0,30921551872.0
03-07 12:28:30,0.0,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,52.0,418.0,260710400.0,950272.0,380768256.0,30921646080.0
03-07 12:28:35,0.0,1.200,0.0,6553.600,0.0,0.025,99.950,0.025,0.0,0.0,72.0,434.400,260956160.0,958464.0,380768256.0,30921392128.0
03-07 12:28:40,0.0,0.600,0.0,10649.600,0.0,0.0,99.925,0.075,0.0,0.0,62.400,440.800,260915200.0,966656.0,380768256.0,30921424896.0
03-07 12:28:45,0.0,0.400,0.0,2457.600,0.025,0.0,99.975,0.0,0.0,0.0,62.400,440.800,260915200.0,974848.0,380760064.0,30921424896.0
03-07 12:28:50,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,62.400,440.800,260907008.0,974848.0,380768256.0,30921424896.0
03-07 12:28:55,0.0,2.200,0.0,9830.400,0.0,0.025,99.925,0.050,0.0,0.0,62.400,444.0,260898816.0,983040.0,380768256.0,30921424896.0
