"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:33:54 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","read","writ","read","writ","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
03-07 12:33:54,8.271,98.342,200684.546,1357103.226,0.634,0.280,94.805,4.241,0.040,0.0,0.0,0.0,260677632.0,630784.0,197586944.0,31105179648.0
03-07 12:33:59,2.800,0.0,0.0,0.0,0.0,0.0,99.975,0.0,0.025,0.0,154.0,744.800,260001792.0,630784.0,197812224.0,31105630208.0
03-07 12:34:04,0.0,0.400,0.0,5734.400,0.025,0.0,99.975,0.0,0.0,0.0,52.0,421.200,259993600.0,638976.0,197812224.0,31105630208.0
03-07 12:34:09,0.0,0.0,0.0,0.0,0.0,0.025,99.975,0.0,0.0,0.0,103.200,480.400,259993600.0,638976.0,197812224.0,31105630208.0
03-07 12:34:14,0.0,0.400,0.0,2457.600,0.0,0.0,100.0,0.0,0.0,0.0,161.800,568.600,259985408.0,647168.0,197812224.0,31105630208.0
03-07 12:34:19,84.0,0.200,1216512.0,3276.800,0.050,0.050,97.501,2.399,0.0,0.0,1782.600,2398.400,260947968.0,950272.0,205062144.0,31097114624.0
03-07 12:34:24,206.800,3.200,2133196.800,23756.800,0.175,0.150,88.947,10.728,0.0,0.0,27592.0,25952.0,259923968.0,958464.0,223727616.0,31079464960.0
03-07 12:34:29,193.400,0.800,1635123.200,11468.800,0.175,0.125,89.220,10.455,0.025,0.0,30670.0,28993.200,260161536.0,966656.0,239988736.0,31062958080.0
03-07 12:34:34,179.400,0.0,1626931.200,0.0,0.200,0.125,89.100,10.575,0.0,0.0,29914.0,28100.400,260063232.0,966656.0,254976000.0,31048069120.0
03-07 12:34:39,203.600,0.400,1877606.400,4096.0,0.200,0.150,89.520,10.105,0.025,0.0,37420.0,35079.600,260358144.0,974848.0,272449536.0,31030292480.0
03-07 12:34:44,208.400,0.0,1880883.200,0.0,0.275,0.150,89.900,9.650,0.025,0.0,44494.0,41503.600,260345856.0,974848.0,290508800.0,31012245504.0
03-07 12:34:49,200.0,1.0,1780940.800,26214.400,0.275,0.175,90.148,9.402,0.0,0.0,48976.0,45642.800,260108288.0,983040.0,308039680.0,30994944000.0
