"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:30:08 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","read","writ","read","writ","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
03-07 12:30:08,6.916,99.475,188687.596,1372792.343,0.637,0.281,94.802,4.240,0.040,0.0,0.0,0.0,259465216.0,2379776.0,197734400.0,31104495616.0
03-07 12:30:13,2.800,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,565.600,258924544.0,2379776.0,197824512.0,31104946176.0
03-07 12:30:18,0.0,0.400,0.0,5734.400,0.0,0.025,99.850,0.125,0.0,0.0,52.0,421.200,259043328.0,2387968.0,197824512.0,31104819200.0
03-07 12:30:23,0.0,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,440.800,259043328.0,2387968.0,197824512.0,31104819200.0
03-07 12:30:28,0.0,0.400,0.0,2457.600,0.0,0.0,100.0,0.0,0.0,0.0,62.400,444.0,259035136.0,2396160.0,197824512.0,31104819200.0
03-07 12:30:33,109.200,0.200,1370521.600,3276.800,0.050,0.050,95.474,4.426,0.0,0.0,4427.0,7229.600,260521984.0,2953216.0,206233600.0,31094366208.0
03-07 12:30:38,206.200,3.200,2159411.200,22118.400,0.200,0.150,88.497,11.153,0.0,0.0,35822.0,72198.800,260567040.0,2961408.0,224751616.0,31075794944.0
03-07 12:30:43,265.0,0.800,2308505.600,11468.800,0.275,0.200,89.003,10.497,0.025,0.0,54302.0,112179.600,260517888.0,2969600.0,247287808.0,31053299712.0
03-07 12:30:48,305.400,0.400,2811494.400,4096.0,0.325,0.200,89.517,9.932,0.025,0.0,70822.0,134336.400,260886528.0,2977792.0,273420288.0,31026790400.0
03-07 12:30:53,280.400,0.0,2485452.800,0.0,0.400,0.225,89.800,9.550,0.025,0.0,82372.0,153292.400,260587520.0,2977792.0,297926656.0,31002583040.0
